#,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG per 90,npxG per 90,npxG+xAG per 90
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24,2000,16,12,"1,107",12.3,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,19,41,24,0.00,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23,2000,25,10,927,10.3,2,0,2,2,0,0,3,1,1.7,1.7,1.2,2.8,26,31,56,0.19,0.00,0.19,0.19,0.19,0.16,0.11,0.28,0.16,0.28
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19
4,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36,1987,26,26,"2,331",25.9,3,0,3,3,0,0,4,0,2.6,2.6,0.3,2.8,34,120,7,0.12,0.00,0.12,0.12,0.12,0.10,0.01,0.11,0.10,0.11
5,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24,2000,25,17,"1,507",16.7,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,8,77,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
6,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31,1993,28,28,"2,477",27.5,1,1,2,1,0,0,3,0,0.9,0.9,2.0,2.9,33,160,47,0.04,0.04,0.07,0.04,0.07,0.03,0.07,0.11,0.03,0.11
7,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21,2003,18,8,736,8.2,3,0,3,3,0,0,1,0,2.0,2.0,1.6,3.7,18,15,67,0.37,0.00,0.37,0.37,0.37,0.25,0.20,0.45,0.25,0.45
8,Abner,BRA,DF,Betis,es La Liga,23,2000,19,14,"1,256",14.0,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,13,30,57,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
9,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,9,5,482,5.4,3,0,3,2,1,1,1,0,2.3,1.5,0.2,1.7,15,13,49,0.56,0.00,0.56,0.37,0.37,0.43,0.04,0.47,0.28,0.32
10,Abdel Abqar,MAR,DF,Alavés,es La Liga,25,1999,21,21,"1,817",20.2,0,0,0,0,0,0,9,0,0.3,0.3,0.0,0.4,5,42,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
11,Tammy Abraham,ENG,FW,Roma,it Serie A,26,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Francesco Acerbi,ITA,DF,Inter,it Serie A,36,1988,26,23,"2,118",23.5,2,1,3,2,0,0,1,0,1.1,1.1,1.7,2.8,19,77,22,0.08,0.04,0.13,0.08,0.13,0.05,0.07,0.12,0.05,0.12
13,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32,1991,15,13,908,10.1,0,1,1,0,0,0,5,0,0.2,0.2,0.7,0.9,18,45,27,0.00,0.10,0.10,0.00,0.10,0.02,0.07,0.09,0.02,0.09
14,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19
15,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24,2000,27,23,"1,925",21.4,7,1,8,7,0,0,2,0,11.2,11.2,1.8,13.0,35,15,114,0.33,0.05,0.37,0.33,0.37,0.52,0.08,0.61,0.52,0.61
16,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
17,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22,2001,13,0,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.06,0.11,0.17,0.06,0.17
18,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30,1993,16,6,651,7.2,1,2,3,1,0,0,2,0,3.4,3.4,1.6,5.0,15,15,33,0.14,0.28,0.41,0.14,0.41,0.47,0.23,0.69,0.47,0.69
19,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26,1997,19,17,"1,527",17.0,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,10,60,5,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.05,0.04,0.05
20,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26,1998,23,13,"1,162",12.9,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,85,0.70,0.00,0.70,0.70,0.70,0.43,0.05,0.49,0.43,0.49
21,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22,2002,18,8,780,8.7,3,1,4,3,0,0,6,1,2.8,2.8,1.5,4.4,42,21,84,0.35,0.12,0.46,0.35,0.46,0.33,0.18,0.50,0.33,0.50
22,Simon Adingra,CIV,FW,Brighton,eng Premier League,22,2002,25,20,"1,767",19.6,6,1,7,6,0,0,2,0,3.5,3.5,2.5,6.0,86,41,233,0.31,0.05,0.36,0.31,0.36,0.18,0.13,0.30,0.18,0.30
23,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21,2002,10,9,822,9.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,8,24,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
24,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,20,6,724,8.0,2,5,7,2,0,0,5,0,2.2,2.2,1.6,3.8,27,29,116,0.25,0.62,0.87,0.25,0.87,0.28,0.20,0.47,0.28,0.47
25,Yacine Adli,FRA,MF,Milan,it Serie A,23,2000,20,15,"1,236",13.7,1,2,3,1,0,0,3,0,0.3,0.3,1.9,2.2,25,107,24,0.07,0.15,0.22,0.07,0.22,0.02,0.14,0.16,0.02,0.16
